P_1,Příjmy celkem
P_2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů
P_3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost)
P_4,Členské příspěvky
P_5,"Dary, dědictví a bezúplatná plnění"
P_6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku"
P_7,Úroky z vkladů
P_8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů"
P_9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí"
P_10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky"
P_11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu
V_1,Mzdové výdaje
V_2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění"
V_3a,volby do Poslanecké sněmovny Parlamentu ČR
V_3b,volby do Senátu Parlamentu ČR
V_3c,volba prezidenta republiky
V_3d,volby do zastupitelstev krajů
V_3e,volby do zastupitelstev obcí
V_3f,volby do Evropského parlamentu
