ic,shortName,longName
05402450,ABP,Aliance pro budoucnost
04627695,ADS,Agrární demokratická strana
71443339,ANO,ANO 2011
71443274,ANS,ALIANCE NÁRODNÍCH SIL
27038050,AO,Alternativa pro občany
05989175,AUTO,Motoristé sobě
06048099,BOS,"BEZPEČNOST, ODPOVĚDNOST, SOLIDARITA"
26587840,BPS,Balbínova poetická strana
05754577,CESTA,CESTA ODPOVĚDNÉ SPOLEČNOSTI
71443428,Češi,Strana Češi
03094553,ČiKR,Čistý kraj
04690753,ČNF,Česká národní fronta
00442721,ČSNS,Česká strana národně sociální
27015904,ČSNS 2005,Česká strana národně socialistická
71443207,ČSR,Česká strana regionů
71339442,Doktoři,Doktoři (za uzdravení společnosti)
26650797,DSSS,Dělnická strana sociální spravedlnosti
05391628,EM,Evolution-Mind
03168786,FraM,Frýdečané a Místečané
06576095,HD,Havířovský družstevník
03204723,HDK,Hradecký demokratický klub
71443479,HnutiFairPlay.cz,Hnutí FAIR PLAY
71443185,HOPB,Občané pro Budějovice
02985349,HP,HRADEČTÍ PATRIOTI
68321457,HPH,Hnutí pro Havířov
03174531,HPK,Hnutí Praha-Kunratice
27039145,HPP 11,Hnutí pro Prahu 11
03206211,iČesko,iČesko
05164966,JHas,JIHOČEŠTÍ HASIČI
71443312,JIH 12,JIHOČEŠI 2012
02733552,JM-ND,Jižní Město - náš domov
04889321,JsmePRO!,JsmePRO!
71339965,Jundrováci,Jundrováci
00539996,KAN,Klub angažovaných nestraníků
00442704,KDU-ČSL,KDU-ČSL
27034321,KOA,Karlovarská občanská alternativa
70226709,KOAL,KONZERVATIVNÍ ALTERNATIVA
26592118,Koalice PRO kraj,Koalice PRO kraj
15271960,KONS,Konzervativní strana
71339973,KPP,Královopolští patrioti
00496936,KSČM,Komunistická strana Čech a Moravy
03152952,KVC,Karlovaráci
71443606,LES,Liberálně ekologická strana
