year,ic,key,description,amount
2017,05402450,1,Příjmy celkem,29817550.85
2017,05402450,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,05402450,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,05402450,4,Členské příspěvky,32400.0
2017,05402450,5,"Dary, dědictví a bezúplatná plnění",10195000.01
2017,05402450,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,05402450,7,Úroky z vkladů,326.93
2017,05402450,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,05402450,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,05402450,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",19589823.91
2017,05402450,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,04627695,1,Příjmy celkem,0.0
2017,04627695,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,04627695,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,04627695,4,Členské příspěvky,0.0
2017,04627695,5,"Dary, dědictví a bezúplatná plnění",0.0
2017,04627695,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,04627695,7,Úroky z vkladů,0.0
2017,04627695,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,04627695,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,04627695,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,04627695,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,71443339,1,Příjmy celkem,301589229.01
2017,71443339,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,150011300.0
2017,71443339,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),113675000.0
2017,71443339,4,Členské příspěvky,3950671.58
2017,71443339,5,"Dary, dědictví a bezúplatná plnění",33952246.35
2017,71443339,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,71443339,7,Úroky z vkladů,11.08
2017,71443339,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,71443339,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,71443339,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,71443339,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,71443274,1,Příjmy celkem,48000.0
2017,71443274,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,71443274,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,71443274,4,Členské příspěvky,3000.0
2017,71443274,5,"Dary, dědictví a bezúplatná plnění",45000.0
2017,71443274,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,71443274,7,Úroky z vkladů,0.0
2017,71443274,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,71443274,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,71443274,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,71443274,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,27038050,1,Příjmy celkem,4000.0
2017,27038050,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,27038050,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,27038050,4,Členské příspěvky,4000.0
2017,27038050,5,"Dary, dědictví a bezúplatná plnění",0.0
2017,27038050,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,27038050,7,Úroky z vkladů,0.0
2017,27038050,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,27038050,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,27038050,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,27038050,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,05989175,1,Příjmy celkem,9571295.0
2017,05989175,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,05989175,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,05989175,4,Členské příspěvky,0.0
2017,05989175,5,"Dary, dědictví a bezúplatná plnění",9571295.0
2017,05989175,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,05989175,7,Úroky z vkladů,0.0
2017,05989175,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
2017,05989175,9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",0.0
2017,05989175,10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce nebo instituce elektronických peněz na území České republiky",0.0
2017,05989175,11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,0.0
2017,06048099,1,Příjmy celkem,128600.0
2017,06048099,2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,0.0
2017,06048099,3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),0.0
2017,06048099,4,Členské příspěvky,6100.0
2017,06048099,5,"Dary, dědictví a bezúplatná plnění",122500.0
2017,06048099,6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",0.0
2017,06048099,7,Úroky z vkladů,0.0
2017,06048099,8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",0.0
