year,ic,key,description,amount
2017,05402450,1,Mzdové výdaje,2286160.0
2017,05402450,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",600.0
2017,05402450,3a,volby do Poslanecké sněmovny Parlamentu ČR,25049656.84
2017,05402450,3b,volby do Senátu Parlamentu ČR,118730.03
2017,05402450,3c,volba prezidenta republiky,323540.0
2017,05402450,3d,volby do zastupitelstev krajů,0.0
2017,05402450,3e,volby do zastupitelstev obcí,0.0
2017,05402450,3f,volby do Evropského parlamentu,0.0
2017,04627695,1,Mzdové výdaje,0.0
2017,04627695,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,04627695,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,04627695,3b,volby do Senátu Parlamentu ČR,0.0
2017,04627695,3c,volba prezidenta republiky,0.0
2017,04627695,3d,volby do zastupitelstev krajů,0.0
2017,04627695,3e,volby do zastupitelstev obcí,0.0
2017,04627695,3f,volby do Evropského parlamentu,0.0
2017,71443339,1,Mzdové výdaje,16100828.36
2017,71443339,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",142354120.7
2017,71443339,3a,volby do Poslanecké sněmovny Parlamentu ČR,83275772.84
2017,71443339,3b,volby do Senátu Parlamentu ČR,439595.8
2017,71443339,3c,volba prezidenta republiky,0.0
2017,71443339,3d,volby do zastupitelstev krajů,0.0
2017,71443339,3e,volby do zastupitelstev obcí,0.0
2017,71443339,3f,volby do Evropského parlamentu,0.0
2017,71443274,1,Mzdové výdaje,0.0
2017,71443274,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",0.0
2017,71443274,3a,volby do Poslanecké sněmovny Parlamentu ČR,43082.0
2017,71443274,3b,volby do Senátu Parlamentu ČR,0.0
2017,71443274,3c,volba prezidenta republiky,0.0
2017,71443274,3d,volby do zastupitelstev krajů,0.0
2017,71443274,3e,volby do zastupitelstev obcí,0.0
2017,71443274,3f,volby do Evropského parlamentu,0.0
2017,27038050,1,Mzdové výdaje,0.0
2017,27038050,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",3000.0
2017,27038050,3a,volby do Poslanecké sněmovny Parlamentu ČR,0.0
2017,27038050,3b,volby do Senátu Parlamentu ČR,0.0
2017,27038050,3c,volba prezidenta republiky,0.0
2017,27038050,3d,volby do zastupitelstev krajů,0.0
2017,27038050,3e,volby do zastupitelstev obcí,0.0
2017,27038050,3f,volby do Evropského parlamentu,0.0
2017,05989175,1,Mzdové výdaje,70000.0
2017,05989175,2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",266000.0
2017,05989175,3a,volby do Poslanecké sněmovny Parlamentu ČR,9333683.32
2017,05989175,3b,volby do Senátu Parlamentu ČR,0.0
2017,05989175,3c,volba prezidenta republiky,0.0
2017,05989175,3d,volby do zastupitelstev krajů,0.0
2017,05989175,3e,volby do zastupitelstev obcí,0.0
