year,ic,name,companyId,address,share
2017,05402450,,,,
2017,04627695,,,,
2017,71443339,,,,
2017,71443274,,,,
2017,27038050,,,,
2017,05989175,,,,
2017,06048099,,,,
2017,26587840,,,,
2017,05754577,,,,
2017,71443428,,,,
2017,03094553,,,,
2017,04690753,,,,
2017,00442721,,,,
2017,27015904,,,,
2017,71443207,,,,
2017,71339442,,,,
2017,26650797,,,,
2017,05391628,,,,
2017,03168786,,,,
2017,06576095,,,,
2017,03204723,,,,
2017,71443479,,,,
2017,71443185,,,,
2017,02985349,,,,
2017,68321457,,,,
2017,03174531,,,,
2017,27039145,,,,
2017,03206211,,,,
2017,05164966,,,,
2017,71443312,,,,
2017,02733552,,,,
2017,04889321,,,,
2017,71339965,,,,
2017,00539996,,,,
2017,00442704,Nový Hlas s.r.o.,26505576.0,"Karlovo nám. 5, 128 00 Praha 2",100.0
2017,27034321,,,,
2017,70226709,,,,
2017,26592118,,,,
2017,15271960,,,,
2017,71339973,,,,
2017,00496936,,,,
2017,03152952,,,,
2017,71443606,,,,
2017,68455941,,,,
2017,26598647,,,,
2017,03254747,,,,
2017,44266740,,,,
2017,60556625,,,,
2017,71443452,,,,
2017,00409421,,,,
2017,60458399,,,,
2017,71339779,,,,
2017,27034500,,,,
2017,03219208,,,,
2017,71443584,,,,
2017,03174697,,,,
2017,03016242,,,,
2017,05266009,,,,
2017,71340017,,,,
2017,71443533,,,,
2017,16192656,Adved s.r.o.,28925009.0,"Truhlářská 1106/9, Nové Město, 110 00 Praha 1",50.0
2017,03099598,,,,
2017,71443517,,,,
2017,06118658,,,,
2017,03221083,,,,
2017,71443215,,,,
2017,71443410,,,,
2017,71443681,,,,
2017,03080935,,,,
2017,71339698,1. Pirátská s.r.o.,6194559.0,"Řehořova 943/19, Praha 3, 130 00",100.0
2017,03170624,,,,
2017,71443550,,,,
2017,06070108,,,,
2017,02885573,,,,
2017,71443509,,,,
2017,04756339,,,,
2017,05177111,,,,
2017,03204669,,,,
2017,71339809,,,,
2017,27038131,,,,
2017,03091805,,,,
2017,68782888,,,,
2017,03254763,,,,
2017,06339875,,,,
2017,71443380,,,,
2017,26595940,,,,
2017,27026922,,,,
2017,71339485,,,,
2017,70869553,,,,
2017,05081068,,,,
2017,00409171,"Cíl, akciová společnost v Praze",26165376.0,"Hybernská 1033/7, Nové Město, 110 00 Praha 1",100.0
2017,00409171,"Demokrat, spol. s r.o. v likvidaci",15526615.0,"Kotlářská 902/51, Veveří, 602 00 Brno",50.0
2017,03116603,,,,
2017,71339655,,,,
2017,04134940,,,,
2017,03217116,,,,
2017,03221199,,,,
2017,71339752,,,,
2017,26673908,,,,
2017,71443444,,,,
2017,71339612,,,,
2017,03251501,,,,
2017,26582406,,,,
2017,03143848,,,,
2017,71339728,,,,
2017,02749947,,,,
2017,02790840,,,,
2017,06335233,,,,
2017,68954263,,,,
2017,71339892,,,,
2017,71339817,,,,
2017,68210396,,,,
2017,27040097,,,,
2017,03247686,,,,
2017,71443614,,,,
2017,00409740,,,,
2017,71443363,,,,
2017,04756291,,,,
2017,71443401,,,,
2017,71339850,,,,
2017,03136922,,,,
2018,05402450,,,,
2018,04627695,,,,
2018,71443339,,,,
2018,71443274,,,,
2018,05989175,,,,
2018,06048099,,,,
2018,26587840,,,,
2018,07204752,,,,
2018,05754577,,,,
2018,71443428,,,,
2018,03094553,,,,
2018,71443207,,,,
2018,05391628,,,,
2018,03168786,,,,
2018,03204723,,,,
2018,71443479,,,,
2018,71443185,,,,
2018,68321457,,,,
2018,27039145,,,,
2018,26600218,,,,
2018,05164966,,,,
2018,71443312,,,,
2018,02733552,,,,
2018,04889321,,,,
2018,00442704,Nový Hlas s.r.o.,26505576.0,"Karlovo nám. 5, 128 00 Praha 2",100.0
2018,27034321,,,,
2018,70226709,,,,
2018,15271960,,,,
2018,71339973,,,,
2018,00496936,,,,
2018,03152952,,,,
2018,71339582,,,,
2018,71443606,,,,
2018,07157029,,,,
2018,26598647,,,,
2018,03254747,,,,
2018,44266740,,,,
2018,60556625,,,,
2018,07027761,,,,
2018,07286210,,,,
2018,71443291,,,,
2018,07312946,,,,
2018,71443452,,,,
2018,60458399,,,,
2018,71339779,,,,
2018,27034500,,,,
2018,71443649,,,,
2018,27053024,,,,
2018,71443584,,,,
2018,03174697,,,,
2018,03016242,,,,
