bod_key,bod_desc,bod_type,bod_desc_short
P_1,Příjmy celkem,Příjmy,Příjmy celkem
P_2,Příspěvek ze státního rozpočtu České republiky na úhradu volebních nákladů,Příjmy,Příspěvek sr.ČR na úhradu volebních nákladů
P_3,Příspěvek ze státního rozpočtu České republiky na činnost strany a hnutí (příspěvek na činnost),Příjmy,Příspěvek sr.ČR na činnost strany a hnutí
P_4,Členské příspěvky,Příjmy,Členské příspěvky
P_5,"Dary, dědictví a bezúplatná plnění",Příjmy,"Dary, dědictví a bezúplatná plnění"
P_6,"Příjmy z nájmu, pachtu a zcizení movitého a nemovitého majetku",Příjmy,"Příjmy z nájmu movitého a nemovitého majetku"
P_7,Úroky z vkladů,Příjmy,Úroky z vkladů
P_8,"Příjmy vznikající z účasti na podnikání jiných právnických osob podle § 17 odst. 3 zák. č. 424/1991 Sb., ve znění pozdějších předpisů",Příjmy,Příjmy z podnikání
P_9,"Příjmy z pořádání tombol, kulturních, společenských, sportovních, rekreačních, vzdělávacích a politických akcí",Příjmy,"Příjmy z pořádání akcí"
P_10,"Zápůjčky a úvěry poskytnuté bankou, platební institucí nebo institucí elektronických peněz nebo pobočkou zahraniční banky, platební instituce neboinstituce elektronických peněz na území České republiky",Příjmy,Zápůjčky a úvěry
P_11,Příspěvek ze státního rozpočtu České republiky na podporu činnosti politického institutu,Příjmy,Příspěvek sr.ČR na politický institut
V_1,Mzdové výdaje,Výdaje,Mzdové výdaje
V_2,"Výdaje na daně, poplatky a jiná obdobná peněžitá plnění",Výdaje,Výdaje na daně a poplatky
V_3a,volby do Poslanecké sněmovny Parlamentu ČR,Výdaje,volby do Poslanecké sněmovny Parlamentu ČR
V_3b,volby do Senátu Parlamentu ČR,Výdaje,volby do Senátu Parlamentu ČR
V_3c,volba prezidenta republiky,Výdaje,volba prezidenta republiky
V_3d,volby do zastupitelstev krajů,Výdaje,volby do zastupitelstev krajů
V_3e,volby do zastupitelstev obcí,Výdaje,volby do zastupitelstev obcí
V_3f,volby do Evropského parlamentu,Výdaje,volby do Evropského parlamentu
