date_year,party_key,job_key,job_count
2017-01-01,5402450,1.0,2.0
2017-01-01,4627695,,
2017-01-01,71443339,72.0,8.0
2017-01-01,71443339,29.0,3.0
2017-01-01,71443339,106.0,1.0
2017-01-01,71443339,133.0,2.0
2017-01-01,71443339,127.0,1.0
2017-01-01,71443339,120.0,1.0
2017-01-01,71443274,,
2017-01-01,27038050,,
2017-01-01,5989175,8.0,1.0
2017-01-01,6048099,,
2017-01-01,26587840,,
2017-01-01,5754577,,
2017-01-01,71443428,,
2017-01-01,3094553,,
2017-01-01,4690753,,
2017-01-01,442721,,
2017-01-01,27015904,,
2017-01-01,71443207,,
2017-01-01,71339442,153.0,1.0
2017-01-01,26650797,,
2017-01-01,5391628,,
2017-01-01,3168786,,
2017-01-01,6576095,,
2017-01-01,3204723,,
2017-01-01,71443479,,
2017-01-01,71443185,117.0,1.0
2017-01-01,2985349,,
2017-01-01,68321457,,
2017-01-01,3174531,,
2017-01-01,27039145,,
2017-01-01,3206211,,
2017-01-01,5164966,,
2017-01-01,71443312,,
2017-01-01,2733552,,
2017-01-01,4889321,,
2017-01-01,71339965,,
2017-01-01,539996,,
2017-01-01,442704,55.0,1.0
2017-01-01,442704,32.0,1.0
2017-01-01,442704,162.0,1.0
2017-01-01,442704,147.0,1.0
2017-01-01,442704,84.0,1.0
2017-01-01,442704,24.0,2.0
2017-01-01,442704,164.0,1.0
2017-01-01,442704,151.0,2.0
2017-01-01,442704,87.0,2.0
2017-01-01,442704,33.0,2.0
2017-01-01,442704,64.0,3.0
2017-01-01,442704,141.0,4.0
2017-01-01,442704,76.0,14.0
2017-01-01,442704,97.0,5.0
2017-01-01,27034321,,
2017-01-01,70226709,,
2017-01-01,26592118,,
2017-01-01,15271960,,
2017-01-01,71339973,,
2017-01-01,496936,100.0,177.0
2017-01-01,496936,89.0,66.0
2017-01-01,496936,143.0,62.0
2017-01-01,3152952,,
2017-01-01,71443606,,
2017-01-01,68455941,17.0,1.0
2017-01-01,26598647,,
2017-01-01,3254747,,
2017-01-01,44266740,,
2017-01-01,60556625,,
2017-01-01,71443452,,
2017-01-01,409421,,
2017-01-01,60458399,,
2017-01-01,71339779,,
2017-01-01,27034500,,
2017-01-01,3219208,,
2017-01-01,71443584,,
2017-01-01,3174697,,
2017-01-01,3016242,,
2017-01-01,5266009,,
2017-01-01,71340017,,
2017-01-01,71443533,,
2017-01-01,16192656,22.0,15.0
2017-01-01,16192656,152.0,11.0
2017-01-01,16192656,14.0,5.0
2017-01-01,16192656,142.0,10.0
