year,key,ic,subject,url
2017,vfz2017,71443339,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-ano-dodatek.txt
2017,vfz2017,26587840,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-balbinova-dodatek.txt
2017,vfz2017,00442721,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-csns-dodatek.txt
2017,vfz2017,27015904,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-csns2005-dodatek.txt
2017,vfz2017,26650797,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-dsss-dodatek.txt
2017,vfz2017,06576095,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-havirovsky-dodatek.txt
2017,vfz2017,03204723,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-hdk-dodatek.txt
2017,vfz2017,03206211,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-kozy-dodatek.txt
2017,vfz2017,71443606,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-les-dodatek.txt
2017,vfz2017,68455941,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-hnhrm-dodatek.txt
2017,vfz2017,26598647,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-mestolidem-dodatek.txt
2017,vfz2017,60556625,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-moravane-dodatek.txt
2017,vfz2017,27034500,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-nestranici-dodatek.txt
2017,vfz2017,71443533,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-obcanecr-dodatek.txt
2017,vfz2017,71443517,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-sounalezitost-dodatek.txt
2017,vfz2017,06070108,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-5proc-dodatek.txt
2017,vfz2017,68782888,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-pvp-dodatek.txt
2017,vfz2017,71443380,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-s2012-dodatek.txt
2017,vfz2017,70869553,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-snked-dodatek.txt
2017,vfz2017,00409171,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-cssd-dodatek.txt
2017,vfz2017,71339752,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-spo-dodatek.txt
2017,vfz2017,26673908,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-stan-dodatek.txt
2017,vfz2017,71339612,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-svobodni-dodatek.txt
2017,vfz2017,03251501,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-duchcov-dodatek.txt
2017,vfz2017,71339817,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-vpk-dodatek.txt
2017,vfz2017,27040097,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-vpmb-dodatek.txt
2017,vfz2017,71443614,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-zlin21-dodatek.txt
2017,vfz2017,71443363,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-zmena-dodatek.txt
2017,vfz2017,04756291,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-zpl-dodatek.txt
2017,vfz2017,03136922,dodatek,https://zpravy.udhpsh.cz/export/vfz2017-zitbrno-dodatek.txt
2018,vfz2018,71443339,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-ano-dodatek.txt
2018,vfz2018,71443274,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-aliancens-dodatek.txt
2018,vfz2018,03204723,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-hdk-dodatek.txt
2018,vfz2018,71443479,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-fairplay-dodatek.txt
2018,vfz2018,04889321,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-jsmepro-dodatek.txt
2018,vfz2018,00442704,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-kducsl-dodatek.txt
2018,vfz2018,03254747,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-modes-dodatek.txt
2018,vfz2018,71443291,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-narsoc-dodatek.txt
2018,vfz2018,60458399,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-nez-dodatek.txt
2018,vfz2018,71443649,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-nmfm-dodatek.txt
2018,vfz2018,71443533,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-obcanecr-dodatek.txt
2018,vfz2018,05632595,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-real-dodatek.txt
2018,vfz2018,06695205,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-sen21-dodatek.txt
2018,vfz2018,70869553,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-snked-dodatek.txt
2018,vfz2018,00409171,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-cssd-dodatek.txt
2018,vfz2018,03116603,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-sol-dodatek.txt
2018,vfz2018,07118317,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-spol-dodatek.txt
2018,vfz2018,71339728,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-top09-dodatek.txt
2018,vfz2018,06335233,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-havel-dodatek.txt
2018,vfz2018,64933911,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-cibulka-dodatek.txt
2018,vfz2018,71339817,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-vpk-dodatek.txt
2018,vfz2018,00409740,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-zeleni-dodatek.txt
2018,vfz2018,68684011,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-zhn-dodatek.txt
2018,vfz2018,71443363,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-zmena-dodatek.txt
2018,vfz2018,03136922,dodatek,https://zpravy.udhpsh.cz/export/vfz2018-zitbrno-dodatek.txt
2019,vfz2019,71443339,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-ano-dodatek.txt
2019,vfz2019,07204752,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-brnoplus-dodatek.txt
2019,vfz2019,07307977,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-dost-dodatek.txt
2019,vfz2019,03204723,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-hdk-dodatek.txt
2019,vfz2019,68455941,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-hnhrm-dodatek.txt
2019,vfz2019,07312946,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-naseobec-dodatek.txt
2019,vfz2019,69345473,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-nd-dodatek.txt
2019,vfz2019,60458399,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-nez-dodatek.txt
2019,vfz2019,71443649,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-nmfm-dodatek.txt
2019,vfz2019,06695205,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-sen21-dodatek.txt
2019,vfz2019,07218443,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-sms-dodatek.txt
2019,vfz2019,70869553,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-snked-dodatek.txt
2019,vfz2019,00409171,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-cssd-dodatek.txt
2019,vfz2019,26673908,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-stan-dodatek.txt
2019,vfz2019,03251501,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-duchcov-dodatek.txt
2019,vfz2019,71339728,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-top09-dodatek.txt
2019,vfz2019,07301600,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-vize-dodatek.txt
2019,vfz2019,71339817,dodatek,https://zpravy.udhpsh.cz/export/vfz2019-vpk-dodatek.txt
2020,vfz2020,09227041,dodatek,https://zpravy.udhpsh.cz/export/vfz2020-ank2020-dodatek.txt
2020,vfz2020,27015904,dodatek,https://zpravy.udhpsh.cz/export/vfz2020-csns2005-dodatek.txt
2020,vfz2020,03204723,dodatek,https://zpravy.udhpsh.cz/export/vfz2020-hdk-dodatek.txt
2020,vfz2020,04889321,dodatek,https://zpravy.udhpsh.cz/export/vfz2020-jsmepro-dodatek.txt
2020,vfz2020,00442704,dodatek,https://zpravy.udhpsh.cz/export/vfz2020-kducsl-dodatek.txt
2020,vfz2020,15271960,dodatek,https://zpravy.udhpsh.cz/export/vfz2020-kons-dodatek.txt
2020,vfz2020,00496936,dodatek,https://zpravy.udhpsh.cz/export/vfz2020-kscm-dodatek.txt
2020,vfz2020,71443606,dodatek,https://zpravy.udhpsh.cz/export/vfz2020-les-dodatek.txt
