year,key,ic,subject,url
2017,vfz2017,05402450,buppo,https://zpravy.udhpsh.cz/export/vfz2017-oda-buppo.json
2017,vfz2017,04627695,buppo,https://zpravy.udhpsh.cz/export/vfz2017-agrarni-buppo.json
2017,vfz2017,71443339,buppo,https://zpravy.udhpsh.cz/export/vfz2017-ano-buppo.json
2017,vfz2017,71443274,buppo,https://zpravy.udhpsh.cz/export/vfz2017-aliancens-buppo.json
2017,vfz2017,27038050,buppo,https://zpravy.udhpsh.cz/export/vfz2017-ao-buppo.json
2017,vfz2017,05989175,buppo,https://zpravy.udhpsh.cz/export/vfz2017-referendumeu-buppo.json
2017,vfz2017,06048099,buppo,https://zpravy.udhpsh.cz/export/vfz2017-bos-buppo.json
2017,vfz2017,26587840,buppo,https://zpravy.udhpsh.cz/export/vfz2017-balbinova-buppo.json
2017,vfz2017,05754577,buppo,https://zpravy.udhpsh.cz/export/vfz2017-cesta-buppo.json
2017,vfz2017,71443428,buppo,https://zpravy.udhpsh.cz/export/vfz2017-cesi-buppo.json
2017,vfz2017,03094553,buppo,https://zpravy.udhpsh.cz/export/vfz2017-cunl-buppo.json
2017,vfz2017,04690753,buppo,https://zpravy.udhpsh.cz/export/vfz2017-cnf-buppo.json
2017,vfz2017,00442721,buppo,https://zpravy.udhpsh.cz/export/vfz2017-csns-buppo.json
2017,vfz2017,27015904,buppo,https://zpravy.udhpsh.cz/export/vfz2017-csns2005-buppo.json
2017,vfz2017,71443207,buppo,https://zpravy.udhpsh.cz/export/vfz2017-csr-buppo.json
2017,vfz2017,71339442,buppo,https://zpravy.udhpsh.cz/export/vfz2017-doktori-buppo.json
2017,vfz2017,26650797,buppo,https://zpravy.udhpsh.cz/export/vfz2017-dsss-buppo.json
2017,vfz2017,05391628,buppo,https://zpravy.udhpsh.cz/export/vfz2017-evolutionmind-buppo.json
2017,vfz2017,03168786,buppo,https://zpravy.udhpsh.cz/export/vfz2017-fram-buppo.json
2017,vfz2017,06576095,buppo,https://zpravy.udhpsh.cz/export/vfz2017-havirovsky-buppo.json
2017,vfz2017,03204723,buppo,https://zpravy.udhpsh.cz/export/vfz2017-hdk-buppo.json
2017,vfz2017,71443479,buppo,https://zpravy.udhpsh.cz/export/vfz2017-fairplay-buppo.json
2017,vfz2017,71443185,buppo,https://zpravy.udhpsh.cz/export/vfz2017-hopb-buppo.json
2017,vfz2017,02985349,buppo,https://zpravy.udhpsh.cz/export/vfz2017-hradecti-buppo.json
2017,vfz2017,68321457,buppo,https://zpravy.udhpsh.cz/export/vfz2017-hph-buppo.json
