year,key,ic,subject,url
2017,vfz2017,05402450,clenove,https://zpravy.udhpsh.cz/export/vfz2017-oda-clenove.json
2017,vfz2017,04627695,clenove,https://zpravy.udhpsh.cz/export/vfz2017-agrarni-clenove.json
2017,vfz2017,71443339,clenove,https://zpravy.udhpsh.cz/export/vfz2017-ano-clenove.json
2017,vfz2017,71443274,clenove,https://zpravy.udhpsh.cz/export/vfz2017-aliancens-clenove.json
2017,vfz2017,27038050,clenove,https://zpravy.udhpsh.cz/export/vfz2017-ao-clenove.json
2017,vfz2017,05989175,clenove,https://zpravy.udhpsh.cz/export/vfz2017-referendumeu-clenove.json
2017,vfz2017,06048099,clenove,https://zpravy.udhpsh.cz/export/vfz2017-bos-clenove.json
2017,vfz2017,26587840,clenove,https://zpravy.udhpsh.cz/export/vfz2017-balbinova-clenove.json
2017,vfz2017,05754577,clenove,https://zpravy.udhpsh.cz/export/vfz2017-cesta-clenove.json
2017,vfz2017,71443428,clenove,https://zpravy.udhpsh.cz/export/vfz2017-cesi-clenove.json
2017,vfz2017,03094553,clenove,https://zpravy.udhpsh.cz/export/vfz2017-cunl-clenove.json
2017,vfz2017,04690753,clenove,https://zpravy.udhpsh.cz/export/vfz2017-cnf-clenove.json
2017,vfz2017,00442721,clenove,https://zpravy.udhpsh.cz/export/vfz2017-csns-clenove.json
2017,vfz2017,27015904,clenove,https://zpravy.udhpsh.cz/export/vfz2017-csns2005-clenove.json
2017,vfz2017,71443207,clenove,https://zpravy.udhpsh.cz/export/vfz2017-csr-clenove.json
2017,vfz2017,71339442,clenove,https://zpravy.udhpsh.cz/export/vfz2017-doktori-clenove.json
2017,vfz2017,26650797,clenove,https://zpravy.udhpsh.cz/export/vfz2017-dsss-clenove.json
2017,vfz2017,05391628,clenove,https://zpravy.udhpsh.cz/export/vfz2017-evolutionmind-clenove.json
2017,vfz2017,03168786,clenove,https://zpravy.udhpsh.cz/export/vfz2017-fram-clenove.json
2017,vfz2017,06576095,clenove,https://zpravy.udhpsh.cz/export/vfz2017-havirovsky-clenove.json
2017,vfz2017,03204723,clenove,https://zpravy.udhpsh.cz/export/vfz2017-hdk-clenove.json
2017,vfz2017,71443479,clenove,https://zpravy.udhpsh.cz/export/vfz2017-fairplay-clenove.json
2017,vfz2017,71443185,clenove,https://zpravy.udhpsh.cz/export/vfz2017-hopb-clenove.json
2017,vfz2017,02985349,clenove,https://zpravy.udhpsh.cz/export/vfz2017-hradecti-clenove.json
2017,vfz2017,68321457,clenove,https://zpravy.udhpsh.cz/export/vfz2017-hph-clenove.json
2017,vfz2017,03174531,clenove,https://zpravy.udhpsh.cz/export/vfz2017-hpk-clenove.json
2017,vfz2017,27039145,clenove,https://zpravy.udhpsh.cz/export/vfz2017-hpp11-clenove.json
2017,vfz2017,03206211,clenove,https://zpravy.udhpsh.cz/export/vfz2017-kozy-clenove.json
2017,vfz2017,05164966,clenove,https://zpravy.udhpsh.cz/export/vfz2017-jhas-clenove.json
2017,vfz2017,71443312,clenove,https://zpravy.udhpsh.cz/export/vfz2017-ji12-clenove.json
2017,vfz2017,02733552,clenove,https://zpravy.udhpsh.cz/export/vfz2017-jmnd-clenove.json
2017,vfz2017,04889321,clenove,https://zpravy.udhpsh.cz/export/vfz2017-jsmepro-clenove.json
2017,vfz2017,71339965,clenove,https://zpravy.udhpsh.cz/export/vfz2017-jundrovaci-clenove.json
2017,vfz2017,00539996,clenove,https://zpravy.udhpsh.cz/export/vfz2017-kan-clenove.json
2017,vfz2017,00442704,clenove,https://zpravy.udhpsh.cz/export/vfz2017-kducsl-clenove.json
2017,vfz2017,27034321,clenove,https://zpravy.udhpsh.cz/export/vfz2017-koa-clenove.json
2017,vfz2017,70226709,clenove,https://zpravy.udhpsh.cz/export/vfz2017-chnj-clenove.json
2017,vfz2017,26592118,clenove,https://zpravy.udhpsh.cz/export/vfz2017-ssuk-clenove.json
2017,vfz2017,15271960,clenove,https://zpravy.udhpsh.cz/export/vfz2017-kons-clenove.json
2017,vfz2017,71339973,clenove,https://zpravy.udhpsh.cz/export/vfz2017-kpp-clenove.json
2017,vfz2017,00496936,clenove,https://zpravy.udhpsh.cz/export/vfz2017-kscm-clenove.json
2017,vfz2017,03152952,clenove,https://zpravy.udhpsh.cz/export/vfz2017-karlovaraci-clenove.json
2017,vfz2017,71443606,clenove,https://zpravy.udhpsh.cz/export/vfz2017-les-clenove.json
2017,vfz2017,68455941,clenove,https://zpravy.udhpsh.cz/export/vfz2017-hnhrm-clenove.json
2017,vfz2017,26598647,clenove,https://zpravy.udhpsh.cz/export/vfz2017-mestolidem-clenove.json
2017,vfz2017,03254747,clenove,https://zpravy.udhpsh.cz/export/vfz2017-modes-clenove.json
2017,vfz2017,44266740,clenove,https://zpravy.udhpsh.cz/export/vfz2017-korunaceska-clenove.json
2017,vfz2017,60556625,clenove,https://zpravy.udhpsh.cz/export/vfz2017-moravane-clenove.json
2017,vfz2017,71443452,clenove,https://zpravy.udhpsh.cz/export/vfz2017-nbplk-clenove.json
