year,key,ic,subject,url
2017,vfz2017,05402450,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-oda-penizepo.json
2017,vfz2017,04627695,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-agrarni-penizepo.json
2017,vfz2017,71443339,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-ano-penizepo.json
2017,vfz2017,71443274,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-aliancens-penizepo.json
2017,vfz2017,27038050,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-ao-penizepo.json
2017,vfz2017,05989175,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-referendumeu-penizepo.json
2017,vfz2017,06048099,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-bos-penizepo.json
2017,vfz2017,26587840,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-balbinova-penizepo.json
2017,vfz2017,05754577,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-cesta-penizepo.json
2017,vfz2017,71443428,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-cesi-penizepo.json
2017,vfz2017,03094553,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-cunl-penizepo.json
2017,vfz2017,04690753,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-cnf-penizepo.json
2017,vfz2017,00442721,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-csns-penizepo.json
2017,vfz2017,27015904,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-csns2005-penizepo.json
2017,vfz2017,71443207,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-csr-penizepo.json
2017,vfz2017,71339442,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-doktori-penizepo.json
2017,vfz2017,26650797,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-dsss-penizepo.json
2017,vfz2017,05391628,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-evolutionmind-penizepo.json
2017,vfz2017,03168786,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-fram-penizepo.json
2017,vfz2017,06576095,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-havirovsky-penizepo.json
2017,vfz2017,03204723,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-hdk-penizepo.json
2017,vfz2017,71443479,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-fairplay-penizepo.json
2017,vfz2017,71443185,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-hopb-penizepo.json
2017,vfz2017,02985349,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-hradecti-penizepo.json
2017,vfz2017,68321457,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-hph-penizepo.json
2017,vfz2017,03174531,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-hpk-penizepo.json
2017,vfz2017,27039145,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-hpp11-penizepo.json
2017,vfz2017,03206211,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-kozy-penizepo.json
2017,vfz2017,05164966,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-jhas-penizepo.json
2017,vfz2017,71443312,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-ji12-penizepo.json
2017,vfz2017,02733552,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-jmnd-penizepo.json
2017,vfz2017,04889321,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-jsmepro-penizepo.json
2017,vfz2017,71339965,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-jundrovaci-penizepo.json
2017,vfz2017,00539996,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-kan-penizepo.json
2017,vfz2017,00442704,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-kducsl-penizepo.json
2017,vfz2017,27034321,penizepo,https://zpravy.udhpsh.cz/export/vfz2017-koa-penizepo.json
